"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","3,320.37","3,335.00","3,347.80","3,297.70","2.17M","-0.46%"
"Oct 22, 2021","3,335.55","3,421.00","3,429.84","3,331.30","3.14M","-2.90%"
"Oct 21, 2021","3,435.01","3,414.25","3,440.28","3,403.00","1.79M","0.58%"
"Oct 20, 2021","3,415.06","3,452.66","3,462.86","3,400.37","2.09M","-0.84%"
"Oct 19, 2021","3,444.15","3,434.29","3,454.69","3,422.00","2.39M","-0.08%"
"Oct 18, 2021","3,446.74","3,388.36","3,449.17","3,385.10","3.12M","1.11%"
"Oct 15, 2021","3,409.02","3,311.42","3,410.42","3,304.00","5.18M","3.31%"
"Oct 14, 2021","3,299.86","3,302.45","3,312.60","3,290.78","2.06M","0.47%"
"Oct 13, 2021","3,284.28","3,269.71","3,288.38","3,261.09","2.33M","1.14%"
"Oct 12, 2021","3,247.33","3,257.00","3,267.53","3,236.28","1.82M","0.03%"
"Oct 11, 2021","3,246.30","3,275.00","3,292.59","3,238.10","2.01M","-1.29%"
"Oct 08, 2021","3,288.62","3,317.00","3,321.43","3,288.20","2.00M","-0.42%"
"Oct 07, 2021","3,302.43","3,291.54","3,325.75","3,283.06","2.36M","1.24%"
"Oct 06, 2021","3,262.01","3,213.53","3,264.34","3,198.62","2.47M","1.27%"
"Oct 05, 2021","3,221.00","3,204.50","3,260.73","3,202.46","3.21M","0.98%"
"Oct 04, 2021","3,189.78","3,279.39","3,279.99","3,176.25","4.45M","-2.85%"
"Oct 01, 2021","3,283.26","3,289.01","3,309.17","3,255.94","2.84M","-0.05%"
"Sep 30, 2021","3,285.04","3,316.00","3,327.85","3,273.99","2.79M","-0.49%"
"Sep 29, 2021","3,301.12","3,322.11","3,351.30","3,297.87","2.55M","-0.45%"
"Sep 28, 2021","3,315.96","3,357.71","3,369.19","3,290.10","4.32M","-2.64%"
"Sep 27, 2021","3,405.80","3,371.50","3,415.57","3,339.61","3.57M","-0.58%"
"Sep 24, 2021","3,425.52","3,402.01","3,429.26","3,393.40","2.12M","0.28%"
"Sep 23, 2021","3,416.00","3,380.05","3,428.96","3,380.05","2.36M","1.06%"
"Sep 22, 2021","3,380.05","3,351.00","3,389.00","3,341.05","2.41M","1.09%"
"Sep 21, 2021","3,343.63","3,375.00","3,379.70","3,332.39","2.77M","-0.36%"
"Sep 20, 2021","3,355.73","3,396.00","3,419.00","3,305.01","4.55M","-3.08%"
"Sep 17, 2021","3,462.52","3,488.41","3,497.41","3,452.13","4.62M","-0.74%"
"Sep 16, 2021","3,488.24","3,459.96","3,492.55","3,446.14","2.55M","0.36%"
"Sep 15, 2021","3,475.79","3,442.52","3,485.42","3,402.01","2.93M","0.75%"
"Sep 14, 2021","3,450.00","3,475.55","3,486.81","3,437.71","1.86M","-0.21%"
"Sep 13, 2021","3,457.17","3,482.80","3,497.96","3,438.00","2.31M","-0.35%"
"Sep 10, 2021","3,469.15","3,501.83","3,508.45","3,462.91","2.40M","-0.43%"
"Sep 09, 2021","3,484.16","3,526.02","3,549.99","3,480.37","2.67M","-1.17%"
"Sep 08, 2021","3,525.50","3,511.65","3,545.63","3,495.67","3.04M","0.46%"
"Sep 07, 2021","3,509.29","3,478.00","3,528.09","3,476.94","2.70M","0.90%"
"Sep 03, 2021","3,478.05","3,452.00","3,482.67","3,436.44","2.58M","0.43%"
"Sep 02, 2021","3,463.12","3,494.76","3,511.96","3,455.00","2.92M","-0.46%"
"Sep 01, 2021","3,479.00","3,496.40","3,527.00","3,475.24","3.63M","0.24%"
"Aug 31, 2021","3,470.79","3,424.80","3,472.58","3,395.59","4.28M","1.44%"
"Aug 30, 2021","3,421.57","3,357.43","3,445.00","3,355.22","3.14M","2.15%"
"Aug 27, 2021","3,349.63","3,333.23","3,352.32","3,313.75","2.40M","1.01%"
"Aug 26, 2021","3,316.00","3,299.00","3,332.00","3,296.00","2.09M","0.51%"
"Aug 25, 2021","3,299.18","3,309.87","3,321.00","3,286.15","1.67M","-0.20%"
"Aug 24, 2021","3,305.78","3,280.00","3,315.49","3,274.58","2.54M","1.22%"
"Aug 23, 2021","3,265.87","3,211.90","3,280.90","3,210.00","3.23M","2.06%"
"Aug 20, 2021","3,199.95","3,203.87","3,207.81","3,175.76","3.36M","0.38%"
"Aug 19, 2021","3,187.75","3,194.02","3,233.00","3,182.46","3.75M","-0.42%"
"Aug 18, 2021","3,201.22","3,241.99","3,254.10","3,200.00","2.74M","-1.26%"
"Aug 17, 2021","3,241.96","3,277.50","3,280.49","3,225.68","3.31M","-1.73%"
"Aug 16, 2021","3,298.99","3,283.00","3,300.00","3,211.13","3.31M","0.15%"
"Aug 13, 2021","3,293.97","3,305.67","3,306.06","3,283.00","2.06M","-0.29%"
"Aug 12, 2021","3,303.50","3,290.00","3,314.51","3,269.67","2.31M","0.35%"
"Aug 11, 2021","3,292.11","3,331.45","3,337.70","3,277.79","2.92M","-0.86%"
"Aug 10, 2021","3,320.68","3,344.27","3,357.20","3,315.07","2.41M","-0.63%"
"Aug 09, 2021","3,341.87","3,344.03","3,353.50","3,328.60","2.15M","-0.09%"
"Aug 06, 2021","3,344.94","3,375.00","3,375.00","3,329.04","2.64M","-0.92%"
"Aug 05, 2021","3,375.99","3,357.89","3,388.83","3,342.58","2.43M","0.63%"
"Aug 04, 2021","3,354.72","3,376.59","3,386.99","3,346.01","2.18M","-0.34%"
"Aug 03, 2021","3,366.24","3,342.99","3,390.03","3,299.77","4.16M","1.04%"
"Aug 02, 2021","3,331.48","3,355.01","3,357.33","3,318.22","3.35M","0.12%"
"Jul 30, 2021","3,327.59","3,347.95","3,368.14","3,306.98","9.97M","-7.56%"
"Jul 29, 2021","3,599.92","3,629.38","3,637.33","3,581.00","5.52M","-0.84%"
"Jul 28, 2021","3,630.32","3,641.48","3,656.89","3,602.00","3.00M","0.11%"
"Jul 27, 2021","3,626.39","3,695.00","3,695.00","3,587.09","4.13M","-1.98%"
"Jul 26, 2021","3,699.82","3,674.40","3,708.00","3,650.00","2.90M","1.18%"
"Jul 23, 2021","3,656.64","3,640.00","3,666.11","3,622.04","2.44M","0.51%"
"Jul 22, 2021","3,638.03","3,587.23","3,640.02","3,582.27","3.27M","1.47%"
"Jul 21, 2021","3,585.20","3,576.38","3,586.45","3,543.64","2.32M","0.34%"
"Jul 20, 2021","3,573.19","3,567.32","3,592.00","3,518.00","3.26M","0.66%"
"Jul 19, 2021","3,549.59","3,532.58","3,550.21","3,499.16","3.78M","-0.67%"
"Jul 16, 2021","3,573.63","3,633.31","3,646.06","3,570.46","4.04M","-1.59%"
"Jul 15, 2021","3,631.20","3,690.83","3,694.59","3,621.39","3.19M","-1.37%"
"Jul 14, 2021","3,681.68","3,710.00","3,717.66","3,661.81","3.30M","0.12%"
"Jul 13, 2021","3,677.36","3,705.00","3,773.00","3,672.57","3.85M","-1.11%"
"Jul 12, 2021","3,718.55","3,740.00","3,755.79","3,697.22","2.57M","-0.02%"
"Jul 09, 2021","3,719.34","3,722.52","3,748.00","3,693.40","3.75M","-0.32%"
"Jul 08, 2021","3,731.41","3,641.99","3,759.54","3,622.04","5.18M","0.94%"
"Jul 07, 2021","3,696.58","3,721.00","3,734.20","3,680.32","5.33M","0.57%"
"Jul 06, 2021","3,675.74","3,530.42","3,685.00","3,529.49","6.74M","4.69%"
"Jul 02, 2021","3,510.98","3,451.64","3,511.72","3,436.92","3.18M","2.27%"
"Jul 01, 2021","3,433.00","3,435.90","3,457.00","3,410.00","2.04M","-0.21%"
"Jun 30, 2021","3,440.20","3,444.70","3,471.10","3,436.50","2.40M","-0.23%"
"Jun 29, 2021","3,448.10","3,439.20","3,455.60","3,424.70","2.10M","0.12%"
"Jun 28, 2021","3,443.90","3,415.60","3,447.50","3,415.60","2.24M","1.25%"
"Jun 25, 2021","3,401.46","3,464.00","3,464.82","3,394.18","3.94M","-1.38%"
"Jun 24, 2021","3,449.10","3,510.00","3,524.70","3,431.10","3.83M","-1.56%"
"Jun 23, 2021","3,503.80","3,505.00","3,521.00","3,483.70","2.81M","-0.05%"
"Jun 22, 2021","3,505.40","3,458.43","3,523.66","3,457.10","3.35M","1.49%"
