"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 25, 2021","47.72","46.60","48.43","46.26","688.29K","2.10%"
"Oct 22, 2021","46.74","46.67","47.73","46.13","955.26K","-0.06%"
"Oct 21, 2021","46.77","44.67","46.86","44.12","576.57K","5.46%"
"Oct 20, 2021","44.35","40.67","45.28","40.67","598.23K","10.71%"
"Oct 19, 2021","40.06","40.21","40.82","39.89","186.71K","0.38%"
"Oct 18, 2021","39.91","40.71","40.75","39.87","198.40K","-2.16%"
"Oct 15, 2021","40.79","39.75","41.12","39.44","449.45K","3.03%"
"Oct 14, 2021","39.59","38.92","39.71","38.92","234.88K","2.83%"
"Oct 13, 2021","38.50","38.17","38.50","37.61","282.31K","1.16%"
"Oct 12, 2021","38.06","38.18","38.65","37.99","150.92K","-0.21%"
"Oct 11, 2021","38.14","38.98","39.38","38.08","151.56K","-2.46%"
"Oct 08, 2021","39.10","39.57","39.57","39.09","106.13K","-1.14%"
"Oct 07, 2021","39.55","38.63","39.92","38.53","159.02K","2.73%"
"Oct 06, 2021","38.50","38.57","38.99","38.37","185.28K","-0.80%"
"Oct 05, 2021","38.81","38.26","38.91","37.87","288.60K","1.54%"
"Oct 04, 2021","38.22","39.30","39.54","37.96","252.71K","-2.92%"
"Oct 01, 2021","39.37","39.43","39.78","39.06","362.57K","0.23%"
"Sep 30, 2021","39.28","39.74","40.00","39.03","177.12K","-0.61%"
"Sep 29, 2021","39.52","39.68","39.97","38.71","225.18K","0.08%"
"Sep 28, 2021","39.49","40.42","40.42","39.41","221.67K","-3.00%"
"Sep 27, 2021","40.71","40.45","40.80","40.16","155.61K","0.57%"
"Sep 24, 2021","40.48","40.21","40.74","40.09","166.02K","0.15%"
"Sep 23, 2021","40.42","40.06","40.70","39.93","139.77K","1.33%"
"Sep 22, 2021","39.89","39.62","40.20","38.97","176.16K","1.22%"
"Sep 21, 2021","39.41","40.12","41.12","39.06","236.57K","-1.35%"
"Sep 20, 2021","39.95","40.34","40.44","39.31","345.43K","-1.70%"
"Sep 17, 2021","40.64","40.80","41.13","40.27","629.66K","-0.34%"
"Sep 16, 2021","40.78","41.48","41.83","40.75","281.19K","-2.04%"
"Sep 15, 2021","41.63","41.48","41.81","41.22","235.78K","0.60%"
"Sep 14, 2021","41.38","42.72","42.72","41.32","279.25K","-2.47%"
"Sep 13, 2021","42.43","41.88","42.47","40.50","354.03K","1.70%"
"Sep 10, 2021","41.72","42.89","42.90","41.71","285.20K","-2.43%"
"Sep 09, 2021","42.76","43.54","43.84","42.75","312.50K","-1.79%"
"Sep 08, 2021","43.54","43.11","43.60","42.85","368.03K","0.39%"
"Sep 07, 2021","43.37","43.58","43.58","43.00","327.82K","-0.44%"
"Sep 03, 2021","43.56","43.38","43.94","42.91","360.79K","0.55%"
"Sep 02, 2021","43.32","42.83","43.34","42.46","320.18K","1.50%"
"Sep 01, 2021","42.68","42.25","42.73","41.95","187.66K","0.97%"
"Aug 31, 2021","42.27","42.55","42.82","42.16","232.04K","-0.75%"
"Aug 30, 2021","42.59","43.58","43.77","42.50","209.64K","-2.56%"
"Aug 27, 2021","43.71","42.50","43.85","42.49","370.69K","3.31%"
"Aug 26, 2021","42.31","41.79","42.38","41.55","388.12K","0.79%"
"Aug 25, 2021","41.98","41.89","42.35","41.89","326.47K","-0.10%"
"Aug 24, 2021","42.02","41.50","42.21","41.37","271.37K","1.20%"
"Aug 23, 2021","41.52","41.60","41.85","41.12","244.24K","-0.19%"
"Aug 20, 2021","41.60","41.05","42.00","40.51","560.33K","1.17%"
"Aug 19, 2021","41.12","41.00","41.59","40.69","509.49K","-0.58%"
"Aug 18, 2021","41.36","39.82","41.94","39.77","500.19K","4.39%"
"Aug 17, 2021","39.62","39.80","39.81","39.19","389.70K","-1.15%"
"Aug 16, 2021","40.08","39.27","40.18","38.91","305.95K","1.24%"
"Aug 13, 2021","39.59","38.67","39.61","38.33","275.32K","2.94%"
"Aug 12, 2021","38.46","36.96","38.76","36.89","425.07K","2.70%"
"Aug 11, 2021","37.45","39.99","39.99","37.16","524.04K","-7.92%"
"Aug 10, 2021","40.67","41.52","41.74","40.32","562.93K","-1.62%"
"Aug 09, 2021","41.34","41.74","41.74","40.76","683.96K","-0.82%"
"Aug 06, 2021","41.68","40.93","41.74","40.43","694.15K","2.46%"
"Aug 05, 2021","40.68","39.68","40.77","39.15","412.69K","2.62%"
"Aug 04, 2021","39.64","40.11","40.41","39.52","168.51K","-1.47%"
"Aug 03, 2021","40.23","38.56","40.33","37.87","601.11K","4.28%"
"Aug 02, 2021","38.58","40.36","40.46","38.54","253.73K","-4.41%"
"Jul 30, 2021","40.36","39.91","40.65","39.58","407.62K","0.77%"
"Jul 29, 2021","40.05","40.14","41.28","40.04","902.09K","0.28%"
"Jul 28, 2021","39.94","39.97","40.45","38.43","514.30K","0.43%"
"Jul 27, 2021","39.77","39.60","39.97","38.93","671.01K","-0.05%"
"Jul 26, 2021","39.79","39.76","40.00","39.12","376.98K","0.73%"
"Jul 23, 2021","39.50","38.63","39.58","38.50","377.16K","2.33%"
"Jul 22, 2021","38.60","39.52","39.66","38.56","127.39K","-2.28%"
"Jul 21, 2021","39.50","39.01","39.53","38.78","108.56K","1.57%"
"Jul 20, 2021","38.89","37.88","39.30","37.66","272.12K","3.16%"
